section,k,k_hex,pubkey_compressed,x,y
start,1,0x1,b'\x02y\xbef~\xf9\xdc\xbb\xacU\xa0b\x95\xce\x87\x0b\x07\x02\x9b\xfc\xdb-\xce(\xd9Y\xf2\x81[\x16\xf8\x17\x98',55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424
start,2,0x2,b'\x02\xc6\x04\x7f\x94A\xed}m0E@n\x95\xc0|\xd8\\w\x8eK\x8c\xef<\xa7\xab\xac\t\xb9\\p\x9e\xe5',89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930
start,3,0x3,b'\x02\xf90\x8a\x01\x92X\xc3\x10I4O\x85\xf8\x9dR)\xb51\xc8E\x83o\x99\xb0\x86\x01\xf1\x13\xbc\xe06\xf9',112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410
start,4,0x4,b'\x02\xe4\x93\xdb\xf1\xc1\r\x80\xf3X\x1eI\x04\x93\x0b\x14\x04\xccl\x13\x90\x0e\xe0u\x84t\xfa\x94\xab\xe8\xc4\xcd\x13',103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018
start,5,0x5,b'\x02/\x8b\xdeM\x1a\x07 \x93U\xb4\xa7%\n\\Q(\xe8\x8b\x84\xbd\xdca\x9a\xb7\xcb\xa8\xd5i\xb2@\xef\xe4',21505829891763648114329055987619236494102133314575206970830385799158076338148,98003708678762621233683240503080860129026887322874138805529884920309963580118
start,6,0x6,b'\x03\xff\xf9{\xd5u^\xee\xa4 E:\x145R5\xd3\x82\xf6G/\x85h\xa1\x8b/\x05z\x14`)uV',115780575977492633039504758427830329241728645270042306223540962614150928364886,78735063515800386211891312544505775871260717697865196436804966483607426560663
start,7,0x7,b'\x02\\\xbd\xf0dn]\xb4\xea\xa3\x98\xf3e\xf2\xeaz\x0e=A\x9b~\x030\xe3\x9c\xe9+\xdd\xed\xca\xc4\xf9\xbc',41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618
start,8,0x8,b'\x02/\x01\xe5\xe1\\\xca5\x1d\xaf\xf3\x84?\xb7\x0f</\n\x1b\xdd\x05\xe5\xaf\x88\x8agxN\xf3\xe1\n*\x01',21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124
start,9,0x9,"b""\x03\xac\xd4\x84\xe2\xf0\xc7\xf6S\t\xad\x17\x8a\x9fU\x9a\xbd\xe0\x97\x96\x97LW\xe7\x14\xc3_\x11\r\xfc'\xcc\xbe""",78173298682877769088723994436027545680738210601369041078747105985693655485630,92362876758821804597230797234617159328445543067760556585160674174871431781431
start,10,0xa,b'\x03\xa0CM\x9eG\xf3\xc8b5G|{\x1a\xe6\xae]4B\xd4\x9b\x19C\xc2\xb7R\xa6\x8e*G\xe2G\xc7',72488970228380509287422715226575535698893157273063074627791787432852706183111,62070622898698443831883535403436258712770888294397026493185421712108624767191
start,11,0xb,b'\x03wJ\xe7\xf8X\xa9A\x1e^\xf4$kp\xc6Z\xacVI\x98\x0b\xe5\xc1x\x91\xbb\xec\x17\x89]\xa0\x08\xcb',53957576663012291606402345341061437133522758407718089353314528343643821967563,98386217607324929854432842186271083758341411730506808463586570492533445740059
start,12,0xc,b'\x03\xd0\x11\x15\xd5H\xe7V\x1b\x15\xc3\x8f\x00MsF3h|\xf4A\x96 \t[\xc5\xb0\xf4pp\xaf\xe8Z',94111259592240215275188773285036844871058226277992966241101117022315524122714,76870767327212528811304566602812752860184934880685532702451763239157141742375
start,13,0xd,b'\x03\xf2\x87s\xc2\xd9u(\x8b\xc7\xd1\xd2\x05\xc3t\x86Q\xb0u\xfb\xc6a\x0eX\xcd\xde\xed\xdf\x8f\x19@Z\xa8',109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713
start,14,0xe,b'\x03I\x9f\xdf\x9e\x89^q\x9c\xfdd\xe6\x7f\x07\xd3\x8e2&\xaa{cg\x89I\xe6\xe4\x9b$\x1a`\xe8#\xe4',33301309993451753050311554695703528430361259803437469669590207169100761277412,91711666877231500617203373035680263572492971120307578300405368749466283229019
start,15,0xf,b'\x02\xd7\x92MO}C\xea\x96ZFZ\xe3\t_\xf4\x111\xe5\x94o<\x85\xf7\x9eD\xad\xbc\xf8\xe2~\x08\x0e',97505755694356382817881959832717013755620551362654128955029190924747025549326,39856815248295663243990443767776362321337592747889787217974905533720651000664
start,16,0x10,b'\x03\xe6\x0f\xce\x93\xb5\x9e\x9e\xc50\x11\xaa\xbc!\xc2>\x97\xb2\xa3\x13i\xb8zZ\xe9\xc4N\xe8\x9e*m\xec\n',104059883622109321374094289636044428849728529177856482232626205340719788190730,112122903140080327253741791678230372394936108416576609264408917599318947489825
start,17,0x11,b'\x03\xde\xfd\xeaL\xdbgwP\xa4 \xfe\xe8\x07\xea\xcf!\xeb\x98\x98\xaey\xb9v\x87f\xe4\xfa\xa0J-J4',100862081773581120499222301212791081193994281440454033593790618293887747050036,29883864782608871580821802176208615141762369223249393426421538275393411672951
start,18,0x12,b'\x02V\x01W\x0c\xb4\x7f#\x8d+\x02\x86\xdbJ\x99\x0f\xa0\xf3\xba(\xd1\xa3\x19\xf5\xe7\xcfU\xc2\xa2DM\xa7\xcc',38901272619685732968285380035171577070479117282397203902622597987558769928140,87393127487643849618870152207476122589010570440825041333620493866032028851544
start,19,0x13,"b""\x02+N\xa0\xa7\x97\xa4C\xd2\x93\xef\\\xffDOIy\xf0j\xcf\xeb\xd7\xe8m'tuea88[l""",19588375357829479297593261744848590434972900972071148260168833594658324503404,60568592333449737531184420002591396163903580402725242236305558432410218044282
start,20,0x14,b'\x02L\xe1\x19\xc9n/\xa3W \x0bU\x9b/}\xd5\xa5\xf0-R\x90\xaf\xf7K\x03\xf3\xe4q\xb2s!\x1c\x97',34773495056115281091786765947597603724784643419904767525769502836017890139287,8470533044743364938367028725608288731153024648869546164814808839694950063162
start,21,0x15,"b'\x025+\xbfJL\xdd\x12VO\x93\xfa3,\xe330\x1d\x9a\xd4\x02q\xf8\x10q\x814\n\xef%\xbeY\xd5'",24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828
start,22,0x16,b'\x03B\x1f_\xc9\xa2\x10eD\\\x96\xfd\xb9\x1c\x0c\x1e/$1t\x1crq;K\x99\xdd\xcb1o1\xe9\xfc',29908081367423272746086114569421970207888665320998202915346633185016778189308,19705544727792599099830884487151299095417296550955739824847212341657057716097
start,23,0x17,b'\x03/\xa2\x10Mk8\xd1\x1b\x020\x01\x05Y\x87\x91$\xe4*\xb8\xdf\xef\xf5\xff)\xdc\x9c\xda\xddN\xca\xcc?',21545045623056848826483343441081830815719530893582365358444562918095175994431,1296978981679745807043951140304019026881137717020402959957988455650813508967
start,24,0x18,b'\x03\xfer\xc45A=3\xd4\x8a\xc0\x9c\x91a\xba\x8b\th2\x15C\x9db\xb7\x94\x05\x02\xbd\xa8\xb2\x02\xe6\xce',115090238283566018960826468250608273126387416636633736439689841211757211870926,47185183227829754668635270747409548752084785367264057948864458978444304762303
start,25,0x19,"b""\x02\x92H'\x9b\t\xb4\xd6\x8d\xab!\xa9\xb0f\xed\xda\x83&<=\x84\xe0\x95r\xe2i\xca\x0c\xd7\xf5E7\x14""",66165162229742397718677620062386824252848999675912518712054484685772795754260,52018513869565587577673992057861898728543589604141463438466108080111932355586
start,26,0x1a,b'\x02f\x87\xcd\xb5\xb6P\xd5X\xf4\x0c\xbd\xef\xc8\xe4\t\x97\xc0?\xe1\xb2\xab\xb8@\x88^\\\xad\x81q\x0cL\x8a',46375854666189782329411331467438732923135312366454677774518044107217916677258,28872066516664221627799718496556756366588329842312456769228220433104069963108
start,27,0x1b,"b""\x03\xda\xedO+\xe3\xa8\xbf'\x8ep\x13/\xb0\xbe\xb7R/W\x0e\x14K\xf6\x15\xc0~\x99mD=\xee\x87)""",99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501
start,28,0x1c,b'\x02U\xebg\xd7\xb7#\x8ap\xa7\xfaod\xd5\xdc<\x82k1Sm\xa6\xeb4M\xc3\x9af\xf9\x04\xf9yh',38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264
start,29,0x1d,"b'\x02\xc4M\x12\xc7\x06]\x81.\x8a\xcf(\xd7\xcb\xb1\x9f\x90\x11\xec\xd9\xe9\xfd\xf2\x81\xb0\xe6\xa3\xb5\xe8}""\xe7\xdb'",88789495143442116025801984763830218317601484092281216301053684219001740388315,14971629676138079947354454610178388572791590863859394042797260533911845233794
start,30,0x1e,b'\x03m+\x08^\x9e8.\xd1\x0bi\xfc1\x1a\x03\xf8d\x1c\xcf\xff!WM\xe0\x92u\x13\xa4\x9d\x9ah\x8a\x00',49378132684229722274313556995573891527709373183446262831552359577455015004672,78123232289538034746933569305416412888858560602643272431489024958214987548923
start,31,0x1f,b'\x02j$[\xf6\xdci\x85\x04\xc8\x9a \xcf\xde\xd6\x08S\x15+iS6\xc2\x80c\xb6\x1ce\xcb\xd2i\xe6\xb4',48009403158434809478298710137233764200988036438868259456275038304221065242292,101379581344212856035375194820281365028426536613141130008386086305632315345538
